Method,Accuracy,F1_Score,Min_DI,DI_Fairness,HR_Std,Final_Adv_Acc
Baseline,0.6923333333333334,0.5606853879105188,0.3415584415584415,0.35510913504940367,0.08238059136249283,
Gender_Adversarial,0.6806666666666666,0.5523364485981308,0.46641992443519165,0.227029816785948,0.06391214589780479,0.5600000023841858
Intersectional_Adversarial,0.6763333333333333,0.5430588235294118,0.49681227863046046,0.2329911378096642,0.06383379290043292,0.17277777194976807
